Enemy,HP,MP,Attack,Defense,Magic,Speed,Level,Gold,EXP,Food1,Chance,Food2,chance,Food3,Chance,,,,,,,,,,,,,,,,
Armor2,1009,0,220,180,0,88,35,300,1990,Armor00,22,Armor01,20,Armor02,3,,,,,,,,,,,,,,,,
Pharaoh2,1390,30,210,129,0,68,36,380,1870,Pharaoh00,22,Pharaoh01,20,Pharaoh02,3,,,,,,,,,,,,,,,,
Mimit5,240,0,190,102,0,53,27,180,480,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Armor3,1560,0,230,175,0,50,34,0,9660,Armor00,0,Armor01,50,Armor02,50,,,,,,,,,,,,,,,,
Bread3,1400,0,190,109,0,53,34,0,8450,Bread00,0,Bread01,50,Bread02,50,,,,,,,,,,,,,,,,
Demon3,1780,0,186,118,0,60,34,0,13280,Demon00,0,Demon01,50,Demon02,50,,,,,,,,,,,,,,,,
Dragon2_Boss,2230,0,188,120,70,56,34,0,15690,Dragon00,0,Dragon01,50,Dragon02,50,,,,,,,,,,,,,,,,
Golem1,1920,0,238,160,0,50,34,0,10860,Golem00,0,Golem01,50,Golem02,50,,,,,,,,,,,,,,,,
Lizardman2,2250,0,195,127,76,62,34,0,14480,Lizardman00,0,Lizardman01,50,Lizardman02,50,,,,,,,,,,,,,,,,
Burger1,890,0,203,128,0,104,35,340,2200,Burger00,22,Burger01,20,Burger02,3,,,,,,,,,,,,,,,,
Mummy2,970,0,232,111,125,86,36,400,2040,Mummy00,22,Mummy01,20,Mummy02,3,,,,,,,,,,,,,,,,
Puppet1,1400,0,194,99,0,73,36,520,2690,Puppet00,22,Puppet01,20,Puppet02,3,,,,,,,,,,,,,,,,
Snowman1,1350,0,197,102,0,66,37,480,2530,Snowman00,22,Snowman01,20,Snowman02,3,,,,,,,,,,,,,,,,
Slime3,150,0,192,90,0,108,30,240,650,Slime00,7,Slime01,6,Slime02,1,,,,,,,,,,,,,,,,
Gorilla2_Boss,2000,0,212,111,83,84,37,0,21220,Gorilla00,0,Gorilla01,50,Gorilla02,50,,,,,,,,,,,,,,,,
Mouse3,2050,0,199,98,0,98,37,0,17950,Mouse00,0,Mouse01,50,Mouse02,50,,,,,,,,,,,,,,,,
Painting5,2222,0,210,95,85,84,37,0,19580,Painting00,0,Painting01,50,Painting02,50,,,,,,,,,,,,,,,,
Rock5,1850,0,245,135,0,78,37,0,13060,Rock00,0,Rock01,50,Rock02,50,,,,,,,,,,,,,,,,
Slime8,1780,0,207,96,0,88,37,0,11420,Slime00,0,Slime01,50,Slime02,50,,,,,,,,,,,,,,,,
Ufo4,2070,0,205,140,0,73,37,0,14690,Ufo00,0,Ufo01,50,Ufo02,50,,,,,,,,,,,,,,,,
Frog2,2800,0,238,106,110,50,38,0,2400,Frog00,33,Frog01,33,Frog02,34,,,,,,,,,,,,,,,,
Dog2,1030,0,240,126,195,89,38,380,2900,Dog00,22,Dog01,20,Dog02,3,,,,,,,,,,,,,,,,
Fluff4,950,0,220,130,0,120,39,500,2690,Fluff00,22,Fluff01,20,Fluff02,3,,,,,,,,,,,,,,,,
Dragon2,1700,0,214,100,125,62,40,720,3550,Dragon00,22,Dragon01,20,Dragon02,3,,,,,,,,,,,,,,,,
Turkey2,1430,0,203,98,0,89,41,440,3330,Turkey00,22,Turkey01,20,Turkey02,3,,,,,,,,,,,,,,,,
Butterfly7,500,0,214,120,0,105,36,280,860,Butterfly00,7,Butterfly01,6,Butterfly02,1,,,,,,,,,,,,,,,,
Butterfly9,2680,0,250,104,97,90,40,0,23640,Butterfly00,0,Butterfly01,50,Butterfly02,50,,,,,,,,,,,,,,,,
Devil8,2470,0,240,102,130,72,40,0,19340,Devil00,0,Devil01,50,Devil02,50,,,,,,,,,,,,,,,,
IronBall2,2280,0,265,92,0,79,40,0,25790,IronBall00,0,IronBall01,50,IronBall02,50,,,,,,,,,,,,,,,,
Owl4,2880,0,280,100,0,95,40,0,17190,Owl00,0,Owl01,50,Owl02,50,,,,,,,,,,,,,,,,
Serpent2_Boss,4480,0,262,124,170,70,40,0,27940,Serpent00,0,Serpent01,50,Serpent02,50,,,,,,,,,,,,,,,,
Shield4,2360,0,320,209,0,90,40,0,15040,Shield00,0,Shield01,50,Shield02,50,,,,,,,,,,,,,,,,
Nose1,800,0,205,70,95,95,41,375,2180,Nose00,22,Nose01,20,Nose02,3,,,,,,,,,,,,,,,,
Bread2,1099,0,207,132,0,10,42,300,2950,Bread00,22,Bread01,20,Bread02,3,,,,,,,,,,,,,,,,
Hammer2,1272,0,230,103,0,99,43,450,2730,Hammer00,22,Hammer01,20,Hammer02,3,,,,,,,,,,,,,,,,
Gorilla2,2250,0,243,140,148,80,44,525,3600,Gorilla00,22,Gorilla01,20,Gorilla02,3,,,,,,,,,,,,,,,,
Gremlin2,2400,0,220,143,105,75,45,700,3390,Gremlin00,22,Gremlin01,20,Gremlin02,3,,,,,,,,,,,,,,,,
Fossil5,268,0,200,105,0,105,36,275,870,Hieroglyph00,7,Hieroglyph01,6,Hieroglyph02,1,,,,,,,,,,,,,,,,
Golem2,2880,0,328,177,0,77,43,0,50000,Golem00,0,Golem01,50,Golem02,50,,,,,,,,,,,,,,,,
IceQueen2,4000,0,268,100,142,79,43,0,26210,IceQueen00,0,IceQueen01,50,IceQueen02,50,,,,,,,,,,,,,,,,
Monitor4,3650,0,245,99,146,79,43,0,15290,Monitor00,0,Monitor01,50,Monitor02,50,,,,,,,,,,,,,,,,
Mouse5,3250,0,325,98,0,103,43,0,17470,Mouse00,0,Mouse01,50,Mouse02,50,,,,,,,,,,,,,,,,
Robot3_Boss,3690,0,315,127,190,85,43,0,28390,Robot00,0,Robot01,50,Robot02,50,,,,,,,,,,,,,,,,
Spider4,2450,0,299,106,0,88,43,0,19660,Spider00,0,Spider01,50,Spider02,50,,,,,,,,,,,,,,,,
Harpy1,1320,0,233,140,0,95,44,400,3070,Harpy00,22,Harpy01,20,Harpy02,3,,,,,,,,,,,,,,,,
Penguin2,1399,0,258,130,0,96,45,575,2850,Penguin00,22,Penguin01,20,Penguin02,3,,,,,,,,,,,,,,,,
Serpent2,2300,0,262,125,140,87,46,825,3760,Serpent00,22,Serpent01,20,Serpent02,3,,,,,,,,,,,,,,,,
Ufo2,2050,0,229,95,0,60,47,750,3530,Ufo00,22,Ufo01,20,Ufo02,3,,,,,,,,,,,,,,,,
Fluff8,299,0,230,95,0,136,39,325,910,Fluff00,7,Fluff01,6,Fluff02,1,,,,,,,,,,,,,,,,
Burger2_Boss,4000,0,319,113,0,83,46,0,25040,Burger00,0,Burger01,50,Burger02,50,,,,,,,,,,,,,,,,
Cobra5,4230,0,302,119,0,95,46,0,15930,Cobra00,0,Cobra01,50,Cobra02,50,,,,,,,,,,,,,,,,
Lizardman3,4200,0,336,127,144,82,46,0,27310,Lizardman00,0,Lizardman01,50,Lizardman02,50,,,,,,,,,,,,,,,,
Painting6,3730,0,340,165,148,98,46,0,29590,Painting00,0,Painting01,50,Painting02,50,,,,,,,,,,,,,,,,
Puppet2,3650,0,344,128,110,90,46,0,20480,Puppet00,0,Puppet01,50,Puppet02,50,,,,,,,,,,,,,,,,
Tomato1,4100,0,330,109,160,99,46,0,18210,Tomato00,0,Tomato01,50,Tomato02,50,,,,,,,,,,,,,,,,
Mimit8,1000,0,300,200,0,144,50,0,0,Mimit00,0,Mimit01,50,Mimit02,50,,,,,,,,,,,,,,,,
Monitor2,815,0,265,145,158,95,47,420,2350,Monitor00,22,Monitor01,20,Monitor02,3,,,,,,,,,,,,,,,,
Nose2,1520,0,250,150,156,90,48,540,3170,Nose00,22,Nose01,20,Nose02,3,,,,,,,,,,,,,,,,
Skeleton2,1398,0,265,140,0,85,49,690,2940,Skeleton00,22,Skeleton01,20,Skeleton02,3,,,,,,,,,,,,,,,,
Crystal2,2444,0,280,200,0,80,50,720,3870,Crystal00,22,Crystal01,20,Crystal02,3,,,,,,,,,,,,,,,,
Robot3,2900,0,270,170,260,95,51,840,3640,Robot00,22,Robot01,20,Robot02,3,,,,,,,,,,,,,,,,
Mimit6,315,0,236,122,0,108,42,390,910,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Medusa2,5200,0,296,145,155,95,49,0,25830,Medusa00,0,Medusa01,50,Medusa02,50,,,,,,,,,,,,,,,,
Owl5,4600,0,323,149,0,105,49,0,18780,Owl00,0,Owl01,50,Owl02,50,,,,,,,,,,,,,,,,
Robot5,5100,0,349,152,220,89,49,0,28180,Robot00,0,Robot01,50,Robot02,50,,,,,,,,,,,,,,,,
Rock6,4630,0,355,200,0,80,49,0,21130,Rock00,0,Rock01,50,Rock02,50,,,,,,,,,,,,,,,,
Satan3_Boss,5555,0,320,127,160,84,49,0,30520,Satan00,0,Satan01,50,Satan02,50,,,,,,,,,,,,,,,,
Snowman2,5300,0,365,129,0,91,49,0,23480,Snowman00,0,Snowman01,50,Snowman02,50,,,,,,,,,,,,,,,,
Harpy2,1000,0,250,181,0,120,50,595,2350,Harpy00,22,Harpy01,20,Harpy02,3,,,,,,,,,,,,,,,,
Excite1,1800,0,260,190,0,100,50,805,3170,Excite00,22,Excite01,20,Excite02,3,,,,,,,,,,,,,,,,
Excite2,2000,0,275,200,0,90,50,840,2940,Excite00,22,Excite01,20,Excite02,3,,,,,,,,,,,,,,,,
Burger2,2900,0,295,200,0,95,50,945,3870,Burger00,22,Burger01,20,Burger02,3,,,,,,,,,,,,,,,,
Satan3,3300,0,284,148,99,85,50,1015,3640,Satan00,22,Satan01,20,Satan02,3,,,,,,,,,,,,,,,,
Bread4,5650,0,378,165,0,110,50,0,16440,Bread00,0,Bread01,50,Bread02,50,,,,,,,,,,,,,,,,
Cerberus2,6500,0,363,156,180,85,50,0,25360,Cerberus00,0,Cerberus01,50,Cerberus02,50,,,,,,,,,,,,,,,,
Devil9,3000,0,288,170,175,92,50,0,18780,Devil00,0,Devil01,50,Devil02,50,,,,,,,,,,,,,,,,
Golem6,4250,0,385,325,0,86,50,0,28180,Golem00,0,Golem01,50,Golem02,50,,,,,,,,,,,,,,,,
Lizardman4,5300,0,375,175,166,98,50,0,20660,Lizardman00,0,Lizardman01,50,Lizardman02,50,,,,,,,,,,,,,,,,
Monitor5,5400,0,306,195,170,94,50,0,30520,Monitor00,0,Monitor01,50,Monitor02,50,,,,,,,,,,,,,,,,
Mouse6,5500,0,372,175,0,140,50,0,23950,Mouse00,0,Mouse01,50,Mouse02,50,,,,,,,,,,,,,,,,
Owl6,6050,0,375,160,0,122,50,0,26300,Owl00,0,Owl01,50,Owl02,50,,,,,,,,,,,,,,,,
Painting7,5800,0,338,192,100,105,50,0,24650,Painting00,0,Painting01,50,Painting02,50,,,,,,,,,,,,,,,,
Serpent1,6800,0,365,150,150,99,50,0,23010,Serpent00,0,Serpent01,50,Serpent02,50,,,,,,,,,,,,,,,,
Ufo5,5900,0,326,228,0,100,50,0,22310,Ufo00,0,Ufo01,50,Ufo02,50,,,,,,,,,,,,,,,,
Wind4,5850,0,355,195,0,135,50,0,21600,Wind00,0,Wind01,50,Wind02,50,,,,,,,,,,,,,,,,
Minotaur3,4700,0,230,108,75,60,26,0,5000,Minotaur00,0,Minotaur01,0,Minotaur02,100,,,,,,,,,,,,,,,,
Monitor3,5900,0,215,140,90,100,30,0,5000,Monitor00,0,Monitor01,0,Monitor02,100,,,,,,,,,,,,,,,,
Robot4,1000,0,170,94,140,60,30,0,1200,Robot00,0,Robot01,0,Robot02,100,,,,,,,,,,,,,,,,
Frog3,3400,0,220,85,95,62,53,0,5000,Frog00,33,Frog01,33,Frog02,34,,,,,,,,,,,,,,,,
Frog4,3900,0,210,100,105,73,33,0,5000,Frog00,33,Frog01,33,Frog02,34,,,,,,,,,,,,,,,,
Dragon3,6400,0,140,130,95,70,37,0,5000,Dragon00,0,Dragon01,0,Dragon02,100,,,,,,,,,,,,,,,,
Cerberus3,6500,0,265,125,115,95,42,0,5000,Cerberus00,0,Cerberus01,0,Cerberus02,100,,,,,,,,,,,,,,,,
IceQueen3,5500,0,255,145,115,99,45,0,5000,IceQueen00,0,IceQueen01,0,IceQueen02,100,,,,,,,,,,,,,,,,
Satan2,6200,0,270,128,110,110,45,0,5000,Satan00,0,Satan01,0,Satan02,100,,,,,,,,,,,,,,,,
SuperSatan0,9000,0,260,175,190,131,48,0,5000,Satan00,0,Satan01,0,Satan02,100,,,,,,,,,,,,,,,,
SuperSatanBit1,1000,0,300,150,10,120,50,0,680,Satan00,0,Satan01,0,Satan02,100,,,,,,,,,,,,,,,,
SuperSatanCenter1,13000,0,380,150,195,40,50,0,10000,Satan00,0,Satan01,0,Satan02,100,,,,,,,,,,,,,,,,
Goblin10,3000,0,280,99,50,100,40,100,1000,Goblin00,0,Goblin01,70,Goblin02,30,,,,,,,,,,,,,,,,
Goblin11,4500,0,480,99,50,100,40,100,2000,Goblin00,0,Goblin01,0,Goblin02,100,,,,,,,,,,,,,,,,
Golem10,4100,0,405,325,0,86,41,0,10000,Golem00,0,Golem01,0,Golem02,100,,,,,,,,,,,,,,,,
Pharaoh10,4500,0,290,95,0,50,42,0,3000,Pharaoh00,0,Pharaoh01,50,Pharaoh02,50,,,,,,,,,,,,,,,,
Serpent10,4600,0,262,94,160,70,43,0,10000,Serpent00,0,Serpent01,0,Serpent02,100,,,,,,,,,,,,,,,,
Burger10,4000,0,280,190,0,95,44,945,2500,Burger00,0,Burger01,60,Burger02,40,,,,,,,,,,,,,,,,
IceQueen10,4500,0,240,150,135,99,46,0,2500,IceQueen00,0,IceQueen01,0,IceQueen02,100,,,,,,,,,,,,,,,,
Devil10,5000,0,240,30,10000,110,47,680,5000,Devil00,0,Devil01,0,Devil02,100,,,,,,,,,,,,,,,,
Satan10,6500,0,270,140,100,85,48,0,5000,Satan00,0,Satan01,0,Satan02,100,,,,,,,,,,,,,,,,
SuperSatan10,8000,0,245,120,180,101,48,0,5000,Satan00,0,Satan01,0,Satan02,100,,,,,,,,,,,,,,,,
Mimit10,16000,0,370,178,178,121,50,1000,10000,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Mimit11,2000,0,270,50,50,50,50,1000,1000,Mimit00,0,Mimit01,0,Mimit02,0,,,,,,,,,,,,,,,,
Shield10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
